idMovielens,uriDBpedia
1453,http://dbpedia.org/resource/Angel_on_My_Shoulder_%28film%29
1251,http://dbpedia.org/resource/A_Chef_in_Love
82,http://dbpedia.org/resource/Jurassic_Park_III
420,http://dbpedia.org/resource/Alice_in_Wonderland_%281951_film%29
658,http://dbpedia.org/resource/Pump_Up_the_Volume_%28film%29
280,http://dbpedia.org/resource/Up%21_Close_and_Personal
973,http://dbpedia.org/resource/Grateful_Dead:_So_Far
791,http://dbpedia.org/resource/Babysitters_%28film%29
531,http://dbpedia.org/resource/Shine_%28film%29
1228,http://dbpedia.org/resource/Under_Siege_2:_Dark_Territory
762,http://dbpedia.org/resource/Beautiful_Girls_%28film%29
1575,http://dbpedia.org/resource/If....
1225,http://dbpedia.org/resource/Angus_%28film%29
119,http://dbpedia.org/resource/Maya_Lin:_A_Strong_Clear_Vision
914,http://dbpedia.org/resource/Wild_Things
732,http://dbpedia.org/resource/Dave_%28film%29
481,http://dbpedia.org/resource/L%27Appartement
1350,http://dbpedia.org/resource/Broken_Arrows
654,http://dbpedia.org/resource/Chinatown_%28film%29
736,http://dbpedia.org/resource/Shadowlands_%28film%29
419,http://dbpedia.org/resource/Mary_Poppins_%28film%29
1027,http://dbpedia.org/resource/Shoot_%27Em_Up
464,http://dbpedia.org/resource/Vanya_on_42nd_Street
14,http://dbpedia.org/resource/Il_Postino
271,http://dbpedia.org/resource/Starship_Troopers_%28film%29
1276,http://dbpedia.org/resource/Sunset_Park_%28film%29
1411,http://dbpedia.org/resource/Barbarella_%28film%29
628,http://dbpedia.org/resource/Sleepers_%28film%29
1268,http://dbpedia.org/resource/Bitter_Moon
910,http://dbpedia.org/resource/Nil_by_Mouth_%28film%29
1120,http://dbpedia.org/resource/I%27m_Not_Rappaport_%28film%29
1033,http://dbpedia.org/resource/Homeward_Bound_II:_Lost_in_San_Francisco
1000,http://dbpedia.org/resource/Lightning_Jack
902,http://dbpedia.org/resource/The_Big_Lebowski
1106,http://dbpedia.org/resource/The_Newton_Boys
752,http://dbpedia.org/resource/The_Replacement_Killers
85,http://dbpedia.org/resource/Lef
421,http://dbpedia.org/resource/Tum_and_Teav:_Romeo_and_Juliet
1612,http://dbpedia.org/resource/The_Leading_Man
1657,http://dbpedia.org/resource/Target_%281995_film%29
11,http://dbpedia.org/resource/Seventeen_%281985_film%29
221,http://dbpedia.org/resource/Breaking_the_Waves
273,http://dbpedia.org/resource/Heat_%281995_film%29
284,http://dbpedia.org/resource/Tin_Cup
1427,http://dbpedia.org/resource/Darkness_%281993_film%29
181,http://dbpedia.org/resource/Return_of_the_Texan
405,http://dbpedia.org/resource/Mission:_Impossible_%28film%29
1005,http://dbpedia.org/resource/The_Double_Life_of_V%C3%A9ronique
1597,http://dbpedia.org/resource/Romper_Stomper
1127,http://dbpedia.org/resource/The_Truman_Show
22,http://dbpedia.org/resource/Braveheart
1143,http://dbpedia.org/resource/Hard_Eight_%28film%29
1576,http://dbpedia.org/resource/A_Hungarian_Fairy_Tale
972,http://dbpedia.org/resource/Passion_Fish
1091,http://dbpedia.org/resource/Pete%27s_Dragon
224,http://dbpedia.org/resource/Ridicule
1406,http://dbpedia.org/resource/When_Night_Is_Falling
1002,http://dbpedia.org/resource/Pesu
1275,http://dbpedia.org/resource/Bulletproof_Monk
111,http://dbpedia.org/resource/The_Truth_About_Cats_%26_Dogs
167,http://dbpedia.org/resource/Private_Benjamin
829,http://dbpedia.org/resource/Fled
765,http://dbpedia.org/resource/Boomerang_%281992_film%29
1210,http://dbpedia.org/resource/Virtuosity
406,http://dbpedia.org/resource/Thinner_%28film%29
217,http://dbpedia.org/resource/Bram_Stoker%27s_Dracula%27s_Curse
31,http://dbpedia.org/resource/Crimson_Tide_%28film%29
675,http://dbpedia.org/resource/Nosferatu
701,http://dbpedia.org/resource/Wonder_Bar
921,http://dbpedia.org/resource/Farewell_My_Concubine_%28film%29
854,http://dbpedia.org/resource/Bad_Taste
768,http://dbpedia.org/resource/Casper_%28film%29
47,http://dbpedia.org/resource/Ed_Wood_%28film%29
75,http://dbpedia.org/resource/Tag:_The_Assassination_Game
777,http://dbpedia.org/resource/Castle_Freak
1100,http://dbpedia.org/resource/What_Happened_Was
975,http://dbpedia.org/resource/Fear_%281946_film%29
91,http://dbpedia.org/resource/The_Nightmare_Before_Christmas
1165,http://dbpedia.org/resource/Big_Bully_%28film%29
1487,http://dbpedia.org/resource/Even_Cowgirls_Get_the_Blues_%28film%29
36,http://dbpedia.org/resource/Mad_Love_%281995_film%29
1618,http://dbpedia.org/resource/King_of_New_York
1257,http://dbpedia.org/resource/The_Designated_Mourner
979,http://dbpedia.org/resource/The_Trigger_Effect
1361,http://dbpedia.org/resource/Free_Jimmy
476,http://dbpedia.org/resource/The_First_Wives_Club
790,http://dbpedia.org/resource/Tommy_Boy
810,http://dbpedia.org/resource/Shadowed
1572,http://dbpedia.org/resource/Wend_Kuuni
1514,http://dbpedia.org/resource/Dream_with_the_Fishes
37,http://dbpedia.org/resource/Nadja_%28film%29
227,http://dbpedia.org/resource/Star_Trek_VI:_The_Undiscovered_Country
84,http://dbpedia.org/resource/Curse_of_the_Puppet_Master
760,http://dbpedia.org/resource/Screamers_%281995_film%29
1129,http://dbpedia.org/resource/Peking_Express_%28film%29
1164,http://dbpedia.org/resource/Zeus_and_Roxanne
1110,http://dbpedia.org/resource/Tank_Girl_%28film%29
155,http://dbpedia.org/resource/Dirty_Dancing
61,http://dbpedia.org/resource/Three_Colors:_White
1473,http://dbpedia.org/resource/Ice_Princess
587,http://dbpedia.org/resource/The_Hour_of_the_Pig
908,http://dbpedia.org/resource/Half_Baked
230,http://dbpedia.org/resource/Star_Trek_IV:_The_Voyage_Home
608,http://dbpedia.org/resource/Spellbound_%281945_film%29
872,http://dbpedia.org/resource/Love_Jones_%28film%29
763,http://dbpedia.org/resource/Happy_Gilmore
693,http://dbpedia.org/resource/Casino_%28film%29
1638,http://dbpedia.org/resource/Normal_Life
548,http://dbpedia.org/resource/The_NeverEnding_Story_III
657,http://dbpedia.org/resource/The_Manchurian_Candidate_%281962_film%29
506,http://dbpedia.org/resource/Rebel_Without_a_Cause
551,http://dbpedia.org/resource/Lord_of_Illusions
434,http://dbpedia.org/resource/Forbidden_Planet
692,http://dbpedia.org/resource/The_American_President
846,http://dbpedia.org/resource/To_Gillian_on_Her_37th_Birthday
51,http://dbpedia.org/resource/Legends_of_the_Fall
1628,http://dbpedia.org/resource/Lamerica
267,http://dbpedia.org/resource/Unknown_%28film%29
338,http://dbpedia.org/resource/Bean_%28film%29
126,http://dbpedia.org/resource/The_Spitfire_Grill
709,http://dbpedia.org/resource/Strictly_Ballroom
407,http://dbpedia.org/resource/Spy_Hard
1172,http://dbpedia.org/resource/3_Women
124,http://dbpedia.org/resource/Lone_Star_%281996_film%29
1145,http://dbpedia.org/resource/Blue_Chips
761,http://dbpedia.org/resource/Nick_of_Time_%28film%29
497,http://dbpedia.org/resource/Bringing_Up_Baby
254,http://dbpedia.org/resource/Batman_%26_Robin_%28film%29
1459,http://dbpedia.org/resource/Madame_Butterfly_%281915_film%29
383,http://dbpedia.org/resource/Raining_Stones
317,http://dbpedia.org/resource/In_the_Name_of_the_Father_%28film%29
1312,http://dbpedia.org/resource/The_Pompatus_of_Love
1163,http://dbpedia.org/resource/The_Portrait_of_a_Lady_%28film%29
754,http://dbpedia.org/resource/Red_Corner
228,http://dbpedia.org/resource/Star_Trek_II:_The_Wrath_of_Khan
1607,http://dbpedia.org/resource/Hurricane_Streets
363,http://dbpedia.org/resource/Sudden_Death_%28film%29
1261,http://dbpedia.org/resource/Man_of_the_Century
1232,http://dbpedia.org/resource/Madonna_of_Avenue_A
1156,http://dbpedia.org/resource/Cyclo_%28film%29
1676,http://dbpedia.org/resource/The_War_at_Home_%28film%29
1174,http://dbpedia.org/resource/Caught_%281996_film%29
125,http://dbpedia.org/resource/Phenomenon_%28film%29
150,http://dbpedia.org/resource/Swingers_%281996_film%29
1423,http://dbpedia.org/resource/Waking_Ned
856,http://dbpedia.org/resource/Night_on_Earth
1068,http://dbpedia.org/resource/The_Star_Maker
1360,http://dbpedia.org/resource/Village_of_the_Giants
832,http://dbpedia.org/resource/Bogus_%28film%29
815,http://dbpedia.org/resource/One_Fine_Day
1465,http://dbpedia.org/resource/Murder_in_the_Hamptons
715,http://dbpedia.org/resource/To_Die_For_%281989_film%29
1627,http://dbpedia.org/resource/Sea_Wife
1186,http://dbpedia.org/resource/In_Hell
429,http://dbpedia.org/resource/The_Day_the_Earth_Stood_Still_%282008_film%29
978,http://dbpedia.org/resource/Heaven%27s_Prisoners
1403,http://dbpedia.org/resource/Caro_diario
1603,http://dbpedia.org/resource/Angela_%28film%29
1342,http://dbpedia.org/resource/Her_Convert
145,http://dbpedia.org/resource/Lawyer_Man
919,http://dbpedia.org/resource/The_City_of_Lost_Children
728,http://dbpedia.org/resource/Junior_%28film%29
137,http://dbpedia.org/resource/Big_Night
438,http://dbpedia.org/resource/Amityville_3-D
859,http://dbpedia.org/resource/April_Fool%27s_Day_%281986_film%29
1588,http://dbpedia.org/resource/Les_Cousins_%28film%29
1130,http://dbpedia.org/resource/Jupiter%27s_Darling_%28film%29
301,http://dbpedia.org/resource/In_%26_Out
994,http://dbpedia.org/resource/The_Last_Time_I_Committed_Suicide
934,http://dbpedia.org/resource/The_Preacher%27s_Wife
1560,http://dbpedia.org/resource/Coup_de_Torchon
53,http://dbpedia.org/resource/Natural_Born_Killers
1501,http://dbpedia.org/resource/Prisoner_of_the_Mountains
1661,http://dbpedia.org/resource/Neige
1,http://dbpedia.org/resource/Toy_Story_3
1150,http://dbpedia.org/resource/Last_Dance_%28film%29
740,http://dbpedia.org/resource/Jane_Eyre_%281996_film%29
808,http://dbpedia.org/resource/The_Program
1433,http://dbpedia.org/resource/Men_of_Respect
54,http://dbpedia.org/resource/Outbreak_%28film%29
640,http://dbpedia.org/resource/The_Cook%2C_the_Thief%2C_His_Wife_%26_Her_Lover
166,http://dbpedia.org/resource/Manon_des_Sources_%281986_film%29
433,http://dbpedia.org/resource/Heathers
1494,http://dbpedia.org/resource/I_mostri
1227,http://dbpedia.org/resource/An_Awfully_Big_Adventure
28,http://dbpedia.org/resource/Apollo_13_%28film%29
1437,http://dbpedia.org/resource/House_Party_3
1548,http://dbpedia.org/resource/The_Curtain_Pole
1436,http://dbpedia.org/resource/Mr._Jones_%28film%29
1608,http://dbpedia.org/resource/Buddy_Boy
1353,http://dbpedia.org/resource/1900_%28film%29
113,http://dbpedia.org/resource/The_Horseman_on_the_Roof
1464,http://dbpedia.org/resource/The_Stars_Fell_on_Henrietta
1584,http://dbpedia.org/resource/La_Symphonie_Pastorale_%28film%29
255,http://dbpedia.org/resource/My_Best_Friend%27s_Wedding
500,http://dbpedia.org/resource/Fly_Away_Home
312,http://dbpedia.org/resource/Midnight_in_the_Garden_of_Good_and_Evil_%28film%29
708,http://dbpedia.org/resource/My_Ex
174,http://dbpedia.org/resource/Raiders_of_the_Lost_Ark
9,http://dbpedia.org/resource/Dead_Man_Walking_%28film%29
1366,http://dbpedia.org/resource/JLG/JLG_%E2%80%93_Self-Portrait_in_December
1220,http://dbpedia.org/resource/Higher_Learning
40,http://dbpedia.org/resource/The_Wrong_Box
739,http://dbpedia.org/resource/Pretty_Woman
935,http://dbpedia.org/resource/Paradise_Road
819,http://dbpedia.org/resource/Eddie_%28film%29
622,http://dbpedia.org/resource/Swiss_Family_Robinson_%28film%29
520,http://dbpedia.org/resource/Tarzan_Escapes
759,http://dbpedia.org/resource/Fair_Game_%281995_film%29
81,http://dbpedia.org/resource/The_Hudsucker_Proxy
1169,http://dbpedia.org/resource/Fresh_%28film%29
756,http://dbpedia.org/resource/Father_of_the_Bride_Part_II
624,http://dbpedia.org/resource/The_Three_Caballeros
1190,http://dbpedia.org/resource/That_Old_Feeling_%28film%29
233,http://dbpedia.org/resource/Under_Siege
875,http://dbpedia.org/resource/She%27s_So_Lovely
1355,http://dbpedia.org/resource/Infinity_%28film%29
1161,http://dbpedia.org/resource/Palookaville_%28film%29
963,http://dbpedia.org/resource/Some_Call_It_Loving
180,http://dbpedia.org/resource/Apocalypse_Now
946,http://dbpedia.org/resource/The_Fox_and_the_Hound
1109,http://dbpedia.org/resource/Death_and_the_Maiden_%28film%29
585,http://dbpedia.org/resource/Son_in_Law
980,http://dbpedia.org/resource/Mother_Night_%28film%29
446,http://dbpedia.org/resource/Burnt_Offerings_%28film%29
360,http://dbpedia.org/resource/Wonderland_%281999_film%29
1224,http://dbpedia.org/resource/The_Scout
1626,http://dbpedia.org/resource/Nobody_Lives_Forever_%28film%29
351,http://dbpedia.org/resource/The_Prophecy_II
282,http://dbpedia.org/resource/A_Time_to_Kill_%28film%29
1255,http://dbpedia.org/resource/Broken_English_%281996_film%29
688,http://dbpedia.org/resource/Leave_It_to_Beaver_%28film%29
